City_ID,City,Country,Max Temp,Conditions,Lat,Lng,Hotel Name
3,Bluff,NZ,52.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
4,Pacific Grove,US,72.01,clear sky,36.6177,-121.9166,Lovers Point Inn
5,Bethel,US,57.07,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
6,Hobart,AU,50.27,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
7,Castro,BR,64.18,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
10,Johnstown,US,55.38,broken clouds,40.3267,-78.922,"Holiday Inn Johnstown-Downtown, an IHG Hotel"
12,Sao Miguel Do Araguaia,BR,75.63,clear sky,-13.275,-50.1628,Hotel Executivo Palace
13,Rikitea,PF,78.22,overcast clouds,-23.1203,-134.9692,People ThankYou
14,Mataura,NZ,52.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
18,Busselton,AU,55.11,scattered clouds,-33.65,115.3333,Observatory Guest House
19,San Patricio,US,76.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
20,Dingle,PH,79.5,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
23,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
24,Hvolsvollur,IS,44.28,overcast clouds,63.7533,-20.2243,Hotel Rangá
26,Mbanza-Ngungu,CD,67.93,moderate rain,-5.25,14.8667,Hotel Full Business
28,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
29,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
32,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
34,Zhezkazgan,KZ,50.76,broken clouds,47.8043,67.7144,Hotel Zumrat
35,Uige,AO,68.4,light rain,-7.6087,15.0613,Hotel Catraio
36,Pangkalanbuun,ID,75.24,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
38,Jamestown,US,43.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
44,New Norfolk,AU,49.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
46,Luderitz,,65.43,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
47,Mar Del Plata,AR,64.87,thunderstorm with light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
48,Hasaki,JP,72.28,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
50,Port Elizabeth,ZA,59.29,clear sky,-33.918,25.5701,39 On Nile Guest House
53,Alice Springs,AU,62.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
54,Narok,KE,57.18,overcast clouds,-1.0783,35.8601,OLORROPIL TOWERS
55,Askarovo,RU,47.35,scattered clouds,53.3372,58.5089,Gostinitsa Na Kirova S Saunoy
56,Chuy,UY,68.92,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
57,Port Alfred,ZA,58.17,few clouds,-33.5906,26.891,The Halyards Hotel
59,Faya,SA,55.51,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
60,Hermanus,ZA,56.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
62,Port Moresby,PG,78.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
63,East London,ZA,60.57,clear sky,-33.0153,27.9116,Tu Casa
64,Hit,IQ,72.19,clear sky,33.6416,42.8251,بيت ابو رباح
65,Port Hardy,CA,46.58,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
66,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
67,Lompoc,US,66.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
68,Caravelas,BR,75.76,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
71,Challapata,BO,50.63,clear sky,-18.9,-66.7667,HOSTAL MARIAN
73,Bredasdorp,ZA,54.91,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
74,Atuona,PF,78.87,light rain,-9.8,-139.0333,Villa Enata
75,Changping,CN,55.04,broken clouds,40.2186,116.2197,Huachang Hotel
76,Te Anau,NZ,50.83,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
77,Bulaevo,KZ,47.89,clear sky,54.9056,70.4439,"Игровой клуб ""ДОМ ИГР Z"""
79,Kodiak,US,45.91,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
80,Virginia Beach,US,73.0,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
81,Codrington,AU,59.88,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
82,Saint Anthony,US,45.14,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
83,Narsaq,GL,41.22,overcast clouds,60.9167,-46.05,Sleep In Narsaq
84,Malinovoye Ozero,RU,45.34,scattered clouds,51.6753,79.7825,Solonyy Bereg
88,Geraldton,AU,64.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
89,Sabaudia,IT,57.45,clear sky,41.3003,13.0282,Oasi di Kufra
90,Naze,JP,72.52,light rain,28.3667,129.4833,Shishime Hotel
91,Cockburn Town,TC,76.69,clear sky,21.4612,-71.1419,Osprey Beach Hotel
92,Dunedin,NZ,53.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
93,Saldanha,ZA,51.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
94,Norman Wells,CA,42.84,scattered clouds,65.282,-126.8329,Heritage Hotel
95,Tuatapere,NZ,54.66,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
96,Nishihara,JP,78.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
97,Huilong,CN,61.93,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
98,Japura,ID,75.16,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
101,Kawalu,ID,72.1,overcast clouds,-7.3817,108.2082,West Jontor
102,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
104,Mapiripan,CO,76.93,broken clouds,2.8892,-72.1256,Monserrate
105,Ranong,TH,79.32,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
106,Sula,PH,79.09,few clouds,15.4573,120.3955,River Stone Hotel
107,Ahipara,NZ,64.89,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
108,Noumea,NC,76.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
109,Touros,BR,79.36,clear sky,-5.1989,-35.4608,INN NEW HORIZON
110,Marsaxlokk,MT,64.08,smoke,35.8419,14.5431,Water's Edge
113,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
115,Waddan,LY,75.29,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
116,Tucurui,BR,76.01,moderate rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
118,Belmonte,BR,77.05,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
119,Kaitangata,NZ,53.46,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
121,Cotia,BR,75.83,broken clouds,-23.6704,-46.9472,Rancho Dos Lopes
122,Cabra,ES,57.61,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
124,Akyab,MM,79.97,few clouds,20.15,92.9,Hotel Memory
125,Atascadero,US,76.5,overcast clouds,35.4894,-120.6707,"Holiday Inn Express & Suites Atascadero, an IHG Hotel"
126,Belur,IN,73.31,scattered clouds,13.1667,75.8667,Sri Vishnu Krupa Lodge
127,Port Pirie,AU,55.49,scattered clouds,-33.1833,138.0167,John Pirie Motor Inn
132,Ponta Do Sol,PT,61.72,few clouds,32.6667,-17.1,Hotel do Campo
133,Dakar,SN,68.88,clear sky,14.6937,-17.4441,Novotel Dakar
134,Broken Hill,AU,58.71,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
135,Carnarvon,AU,71.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
137,Stepnoye,RU,60.01,overcast clouds,51.4,46.8667,Edem
139,Griffith,US,53.15,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
145,Vila Franca Do Campo,PT,63.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
147,Cape Town,ZA,60.28,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
148,Praia Da Vitoria,PT,62.85,few clouds,38.7333,-27.0667,Hotel Branco I
149,Hay River,CA,49.96,broken clouds,60.8156,-115.7999,Ptarmigan Inn
150,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
153,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
154,Ribeira Grande,PT,63.12,broken clouds,38.5167,-28.7,Quinta da Meia Eira
160,Yellowknife,CA,46.92,few clouds,62.456,-114.3525,The Explorer Hotel
161,Pingzhuang,CN,44.96,broken clouds,42.0372,119.2889,Haoke Guest House
163,Clarence Town,AU,68.86,overcast clouds,-32.5833,151.7833,River Downs Cottage
166,Esperance,AU,58.84,scattered clouds,-33.8667,121.9,Hospitality Esperance
168,Ipixuna,BR,74.23,moderate rain,-1.7625,-48.8043,Chalé do Mato
169,Sao Joao Da Barra,BR,75.51,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
170,Lima,PE,66.45,clear sky,-12.0432,-77.0282,Hotel Kamana
172,Xining,CN,51.26,scattered clouds,36.6167,101.7667,Super Leisure Hotel
174,Gat,IL,74.39,overcast clouds,31.61,34.7642,OlusHome
175,Slave Lake,CA,51.78,scattered clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
178,Lexington Park,US,64.08,overcast clouds,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
180,Mount Gambier,AU,58.91,overcast clouds,-37.8333,140.7667,The Commodore
182,Maragogi,BR,77.92,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
184,Mount Pleasant,US,75.0,broken clouds,32.7941,-79.8626,Best Western Patriots Point
185,Fortuna,US,58.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
187,Katobu,ID,76.51,overcast clouds,-4.9408,122.5276,La Ode Husein
188,Mashhad,IR,66.34,clear sky,36.297,59.6062,Khanye Sabz Hotel
189,Esmeraldas,BR,76.24,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
190,Grindavik,IS,42.75,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
192,Cheyenne,US,66.97,clear sky,41.14,-104.8203,The Historic Plains Hotel & Restaurant
197,Opuwo,,66.69,clear sky,-18.0607,13.84,ABBA Guesthouse
198,Lexington,US,58.89,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
199,Bengkulu,ID,76.53,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
200,Missoula,US,45.0,overcast clouds,47.0166,-113.8009,Gold Creek Cabin
202,Tatarsk,RU,43.38,broken clouds,55.219,75.9828,Gostinitsa Neptun Tatarsk
204,Santiago De Chuco,PE,52.61,light rain,-8.15,-78.1833,Hotel El Mirador Santiago de Chuco
205,Kuhdasht,IR,56.77,clear sky,33.535,47.6061,فروشگاه زنبیل
207,Cap Malheureux,MU,75.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
209,Chase,CA,58.08,overcast clouds,50.8165,-119.6857,Chase Country Inn Motel
210,Lata,PT,49.44,clear sky,40.1629,-8.3327,Casa Maquia
211,Portland,US,57.24,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
212,Canon City,US,73.62,clear sky,38.441,-105.2424,Travel Inn Motel
213,Muisne,EC,77.76,light rain,0.6,-80.0333,Quinta Samay
214,Muros,ES,53.83,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
215,Lagoa,PT,61.38,broken clouds,39.05,-27.9833,Casa Das Faias
217,Cidreira,BR,71.19,few clouds,-30.1811,-50.2056,Hotel Castelo
218,Mombetsu,JP,49.87,overcast clouds,44.3525,143.3525,Okhotsk Palace Hotel
219,Aksu,CN,61.14,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
220,Mackay,AU,77.68,scattered clouds,-21.15,149.2,International Lodge Motel
221,Borba,BR,78.28,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
223,Constitucion,CL,51.19,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
224,Rio Grande,BR,71.71,heavy intensity rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
225,Port Macquarie,AU,66.88,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
226,Liverpool,GB,48.09,few clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
235,Canico,PT,61.72,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
236,Gebre Guracha,ET,59.74,broken clouds,9.8,38.4,Brehan Cafe
237,Lebu,CL,49.86,clear sky,-37.6167,-73.65,Hostal Las Lilas
241,Inhambane,MZ,71.4,broken clouds,-23.865,35.3833,Oceano
242,Port Lincoln,AU,62.73,few clouds,-34.7333,135.8667,Port Lincoln Hotel
243,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
244,Meulaboh,ID,75.13,overcast clouds,4.1363,96.1285,Kost Pria
245,Shimoda,JP,67.87,heavy intensity rain,34.6667,138.95,Shimoda Tokyu Hotel
246,Sakakah,SA,76.57,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
248,Deogarh,IN,75.31,clear sky,21.5333,84.7333,Amit Henej House
249,Lucapa,AO,66.7,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
250,Hambantota,LK,79.9,overcast clouds,6.1241,81.1185,Bungalow 63
251,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
252,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
253,Coalinga,US,73.65,overcast clouds,36.1397,-120.3602,Royal Lodge Motel
255,Sao Jose Da Coroa Grande,BR,78.28,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
258,Port Hawkesbury,CA,48.72,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
259,Nouadhibou,MR,64.65,clear sky,20.931,-17.0347,El Medina
262,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
263,Waipawa,NZ,58.15,few clouds,-41.4122,175.5153,Tora Coastal Walk
264,Kurchum,KZ,42.93,overcast clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
268,Kaeo,NZ,64.33,few clouds,-35.1,173.7833,Bushido Lodge
269,Kloulklubed,PW,73.9,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
271,Alberton,CA,50.13,light rain,46.8168,-64.0654,La Petite France B&B
273,Camocim,BR,76.51,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
274,Boyolangu,ID,75.09,overcast clouds,-8.1181,111.8935,Yos ega cv
275,Marrakesh,MA,64.47,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
280,Yuzawa,JP,53.28,overcast clouds,39.1667,140.5,Yuzawa Royal Hotel
281,Margate,GB,47.7,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
282,Atar,MR,74.5,clear sky,20.5169,-13.0499,Oumou Elghoura
284,Nauta,PE,78.4,scattered clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
286,Burnie,AU,58.33,moderate rain,-41.0667,145.9167,Beachfront Voyager Motor Inn
287,Benghazi,LY,69.57,scattered clouds,32.1167,20.0667,Tibesti Hotel
288,Santa Isabel,BR,78.1,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
289,Vigrestad,NO,43.97,few clouds,58.5667,5.7,Brusand Camping
