City_ID,City,Country,Date,Lat,Lng,Conditions,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-04-26 22:33:37,-54.8,-68.3,broken clouds,38.86,87,75,12.66
1,Tasiilaq,GL,2022-04-26 22:35:52,65.6145,-37.6368,overcast clouds,32.16,95,91,4.03
2,Qaanaaq,GL,2022-04-26 22:35:53,77.484,-69.3632,broken clouds,13.21,75,67,5.88
3,Bluff,NZ,2022-04-26 22:35:54,-46.6,168.3333,broken clouds,52.81,78,83,8.93
4,Pacific Grove,US,2022-04-26 22:35:54,36.6177,-121.9166,clear sky,72.01,70,0,17.0
5,Bethel,US,2022-04-26 22:35:54,41.3712,-73.414,overcast clouds,57.07,91,100,4.61
6,Hobart,AU,2022-04-26 22:31:48,-42.8794,147.3294,broken clouds,50.27,94,75,6.91
7,Castro,BR,2022-04-26 22:35:55,-24.7911,-50.0119,scattered clouds,64.18,92,30,4.92
8,Albany,US,2022-04-26 22:33:33,42.6001,-73.9662,overcast clouds,53.38,90,100,4.56
9,Kapaa,US,2022-04-26 22:34:24,22.0752,-159.319,light rain,80.58,84,100,12.66
10,Johnstown,US,2022-04-26 22:31:00,40.3267,-78.922,broken clouds,55.38,79,75,9.22
11,Sangin,AF,2022-04-26 22:35:56,32.0728,64.8359,few clouds,77.02,14,15,2.1
12,Sao Miguel Do Araguaia,BR,2022-04-26 22:35:56,-13.275,-50.1628,clear sky,75.63,59,0,4.38
13,Rikitea,PF,2022-04-26 22:33:57,-23.1203,-134.9692,overcast clouds,78.22,69,100,20.49
14,Mataura,NZ,2022-04-26 22:35:57,-46.1927,168.8643,overcast clouds,52.48,97,96,2.86
15,Saint George,US,2022-04-26 22:33:44,37.1041,-113.5841,clear sky,86.63,7,0,14.97
16,Iqaluit,CA,2022-04-26 22:35:58,63.7506,-68.5145,scattered clouds,10.13,56,40,14.97
17,Georgetown,MY,2022-04-26 22:32:56,5.4112,100.3354,thunderstorm,80.53,99,20,3.44
18,Busselton,AU,2022-04-26 22:35:58,-33.65,115.3333,scattered clouds,55.11,89,40,7.07
19,San Patricio,US,2022-04-26 22:35:59,28.017,-97.5169,overcast clouds,76.89,70,100,10.09
20,Dingle,PH,2022-04-26 22:35:59,10.9995,122.6711,overcast clouds,79.5,86,100,7.61
21,Kavieng,PG,2022-04-26 22:35:59,-2.5744,150.7967,light rain,84.6,73,5,14.63
22,Andenes,NO,2022-04-26 22:36:00,69.3143,16.1194,broken clouds,28.38,74,75,19.57
23,Arraial Do Cabo,BR,2022-04-26 22:36:00,-22.9661,-42.0278,clear sky,76.86,88,0,6.91
24,Hvolsvollur,IS,2022-04-26 22:36:01,63.7533,-20.2243,overcast clouds,44.28,81,99,2.24
25,Butaritari,KI,2022-04-26 22:36:01,3.0707,172.7902,light rain,81.05,83,46,18.45
26,Mbanza-Ngungu,CD,2022-04-26 22:36:01,-5.25,14.8667,moderate rain,67.93,98,100,4.14
27,Vega De Alatorre,MX,2022-04-26 22:36:02,20.0333,-96.6333,overcast clouds,81.16,68,91,11.16
28,Vaini,TO,2022-04-26 22:36:02,-21.2,-175.2,few clouds,78.96,65,20,14.97
29,Souillac,MU,2022-04-26 22:36:03,-20.5167,57.5167,scattered clouds,75.58,88,40,8.05
30,Khatanga,RU,2022-04-26 22:36:03,71.9667,102.5,overcast clouds,14.36,91,100,8.39
31,Airai,TL,2022-04-26 22:36:04,-8.9266,125.4092,broken clouds,63.79,77,81,1.19
32,Bambous Virieux,MU,2022-04-26 22:36:04,-20.3428,57.7575,light rain,75.45,88,40,8.05
33,Faanui,PF,2022-04-26 22:36:05,-16.4833,-151.75,light rain,82.58,72,22,18.32
34,Zhezkazgan,KZ,2022-04-26 22:36:05,47.8043,67.7144,broken clouds,50.76,40,67,2.3
35,Uige,AO,2022-04-26 22:36:05,-7.6087,15.0613,light rain,68.4,93,100,1.72
36,Pangkalanbuun,ID,2022-04-26 22:36:06,-2.6833,111.6167,overcast clouds,75.24,97,97,1.99
37,Buala,SB,2022-04-26 22:36:06,-8.145,159.5921,light rain,84.15,71,91,5.14
38,Jamestown,US,2022-04-26 22:36:07,42.097,-79.2353,overcast clouds,43.02,57,100,14.0
39,Contamana,PE,2022-04-26 22:36:07,-7.3333,-75.0167,broken clouds,82.99,65,73,2.98
40,Avarua,CK,2022-04-26 22:31:22,-21.2078,-159.775,scattered clouds,84.25,79,40,9.22
41,Solnechnyy,RU,2022-04-26 22:36:08,50.7214,136.6319,snow,26.56,93,100,12.75
42,Hilo,US,2022-04-26 22:36:08,19.7297,-155.09,overcast clouds,86.29,81,100,16.11
43,Punta Arenas,CL,2022-04-26 22:36:09,-53.15,-70.9167,scattered clouds,39.31,65,40,8.05
44,New Norfolk,AU,2022-04-26 22:36:09,-42.7826,147.0587,overcast clouds,49.91,90,100,1.97
45,San Andres,CO,2022-04-26 22:34:14,12.5847,-81.7006,scattered clouds,82.42,78,40,12.66
46,Luderitz,NA,2022-04-26 22:36:10,-26.6481,15.1594,clear sky,65.43,44,0,8.72
47,Mar Del Plata,AR,2022-04-26 22:37:10,-38.0023,-57.5575,thunderstorm with light rain,64.87,95,75,8.99
48,Hasaki,JP,2022-04-26 22:37:11,35.7333,140.8333,light rain,72.28,89,100,21.99
49,Upernavik,GL,2022-04-26 22:37:11,72.7868,-56.1549,overcast clouds,25.57,81,92,5.99
50,Port Elizabeth,ZA,2022-04-26 22:33:05,-33.918,25.5701,clear sky,59.29,77,0,6.91
51,Dikson,RU,2022-04-26 22:37:12,73.5069,80.5464,overcast clouds,3.58,96,94,8.81
52,Chapais,CA,2022-04-26 22:37:12,49.7834,-74.8492,overcast clouds,31.78,85,100,7.49
53,Alice Springs,AU,2022-04-26 22:37:13,-23.7,133.8833,broken clouds,62.15,67,76,5.75
54,Narok,KE,2022-04-26 22:37:13,-1.0783,35.8601,overcast clouds,57.18,94,100,3.85
55,Askarovo,RU,2022-04-26 22:37:14,53.3372,58.5089,scattered clouds,47.35,61,40,11.18
56,Chuy,UY,2022-04-26 22:37:14,-33.6971,-53.4616,scattered clouds,68.92,86,48,12.1
57,Port Alfred,ZA,2022-04-26 22:37:15,-33.5906,26.891,few clouds,58.17,91,14,1.01
58,Manuk Mangkaw,PH,2022-04-26 22:37:15,4.8,119.85,overcast clouds,81.34,81,100,10.18
59,Faya,SA,2022-04-26 22:37:16,18.3851,42.4509,scattered clouds,55.51,41,30,3.58
60,Hermanus,ZA,2022-04-26 22:37:16,-34.4187,19.2345,clear sky,56.79,77,0,9.22
61,Samarai,PG,2022-04-26 22:37:16,-10.6167,150.6667,overcast clouds,83.3,72,100,3.44
62,Port Moresby,PG,2022-04-26 22:37:17,-9.4431,147.1797,scattered clouds,78.22,94,40,2.3
63,East London,ZA,2022-04-26 22:37:17,-33.0153,27.9116,clear sky,60.57,79,3,10.94
64,Hit,IQ,2022-04-26 22:37:18,33.6416,42.8251,clear sky,72.19,50,1,5.46
65,Port Hardy,CA,2022-04-26 22:37:19,50.6996,-127.4199,overcast clouds,46.58,71,100,11.5
66,Cabedelo,BR,2022-04-26 22:33:55,-6.9811,-34.8339,few clouds,77.67,75,16,13.47
67,Lompoc,US,2022-04-26 22:37:19,34.6391,-120.4579,clear sky,66.85,70,0,28.99
68,Caravelas,BR,2022-04-26 22:37:20,-17.7125,-39.2481,clear sky,75.76,81,0,5.3
69,Anzhero-Sudzhensk,RU,2022-04-26 22:37:20,56.081,86.0285,few clouds,31.86,83,19,4.5
70,Ayan,RU,2022-04-26 22:37:21,56.45,138.1667,overcast clouds,31.01,75,100,6.58
71,Challapata,BO,2022-04-26 22:37:21,-18.9,-66.7667,clear sky,50.63,22,8,1.48
72,Sumenep,ID,2022-04-26 22:37:22,-7.0167,113.8667,overcast clouds,80.38,81,100,3.42
73,Bredasdorp,ZA,2022-04-26 22:37:22,-34.5322,20.0403,clear sky,54.91,78,1,2.98
74,Atuona,PF,2022-04-26 22:37:23,-9.8,-139.0333,light rain,78.87,76,17,20.54
75,Changping,CN,2022-04-26 22:37:23,40.2186,116.2197,broken clouds,55.04,18,52,0.56
76,Te Anau,NZ,2022-04-26 22:37:24,-45.4167,167.7167,broken clouds,50.83,77,65,1.59
77,Bulaevo,KZ,2022-04-26 22:37:24,54.9056,70.4439,clear sky,47.89,51,6,5.14
78,Victoria,HK,2022-04-26 22:36:04,22.2855,114.1577,clear sky,82.18,87,4,4.0
79,Kodiak,US,2022-04-26 22:37:25,57.79,-152.4072,broken clouds,45.91,61,75,5.75
80,Virginia Beach,US,2022-04-26 22:37:02,36.8529,-75.978,broken clouds,73.0,70,75,20.71
81,Codrington,AU,2022-04-26 22:37:25,-38.2667,141.9667,overcast clouds,59.88,81,100,7.11
82,Saint Anthony,US,2022-04-26 22:37:26,45.0205,-93.218,few clouds,45.14,45,20,10.36
83,Narsaq,GL,2022-04-26 22:37:26,60.9167,-46.05,overcast clouds,41.22,82,100,0.72
84,Malinovoye Ozero,RU,2022-04-26 22:37:27,51.6753,79.7825,scattered clouds,45.34,55,45,2.98
85,Finschhafen,PG,2022-04-26 22:37:27,-6.6024,147.8681,scattered clouds,84.33,73,29,4.14
86,Barrow,US,2022-04-26 22:37:28,71.2906,-156.7887,light snow,10.42,79,100,13.8
87,Ylojarvi,FI,2022-04-26 22:37:28,61.5563,23.5961,clear sky,30.94,53,0,3.44
88,Geraldton,AU,2022-04-26 22:37:28,-28.7667,114.6,broken clouds,64.81,82,75,18.41
89,Sabaudia,IT,2022-04-26 22:37:29,41.3003,13.0282,clear sky,57.45,91,0,7.54
90,Naze,JP,2022-04-26 22:38:29,28.3667,129.4833,light rain,72.52,80,100,13.38
91,Cockburn Town,TC,2022-04-26 22:35:38,21.4612,-71.1419,clear sky,76.69,68,1,17.92
92,Dunedin,NZ,2022-04-26 22:38:30,-45.8742,170.5036,overcast clouds,53.8,90,92,11.01
93,Saldanha,ZA,2022-04-26 22:38:30,-33.0117,17.9442,clear sky,51.85,82,0,13.47
94,Norman Wells,CA,2022-04-26 22:38:31,65.282,-126.8329,scattered clouds,42.84,52,40,11.5
95,Tuatapere,NZ,2022-04-26 22:38:31,-46.1333,167.6833,overcast clouds,54.66,83,87,6.29
96,Nishihara,JP,2022-04-26 22:38:31,26.1842,127.7558,broken clouds,78.85,94,75,13.8
97,Huilong,CN,2022-04-26 22:38:32,31.8111,121.655,broken clouds,61.93,85,84,14.36
98,Japura,ID,2022-04-26 22:38:32,-0.3167,102.35,overcast clouds,75.16,98,97,0.83
99,Khartoum,SD,2022-04-26 22:38:33,15.5518,32.5324,broken clouds,86.02,26,54,7.83
100,Nanortalik,GL,2022-04-26 22:38:33,60.1432,-45.2371,overcast clouds,36.34,86,100,7.85
101,Kawalu,ID,2022-04-26 22:38:34,-7.3817,108.2082,overcast clouds,72.1,97,100,3.33
102,Puerto Ayora,EC,2022-04-26 22:38:34,-0.7393,-90.3518,broken clouds,78.76,77,74,6.55
103,Aklavik,CA,2022-04-26 22:38:34,68.2191,-135.0107,broken clouds,31.15,90,79,6.91
104,Mapiripan,CO,2022-04-26 22:38:35,2.8892,-72.1256,broken clouds,76.93,87,71,3.09
105,Ranong,TH,2022-04-26 22:38:35,9.9658,98.6348,broken clouds,79.32,84,56,0.4
106,Sula,PH,2022-04-26 22:38:36,15.4573,120.3955,few clouds,79.09,77,16,2.51
107,Ahipara,NZ,2022-04-26 22:38:36,-35.1667,173.1667,overcast clouds,64.89,62,97,8.08
108,Noumea,NC,2022-04-26 22:38:37,-22.2763,166.4572,overcast clouds,76.98,56,99,10.25
109,Touros,BR,2022-04-26 22:38:37,-5.1989,-35.4608,clear sky,79.36,77,4,13.89
110,Marsaxlokk,MT,2022-04-26 22:38:37,35.8419,14.5431,smoke,64.08,94,85,4.61
111,Saskylakh,RU,2022-04-26 22:38:38,71.9167,114.0833,overcast clouds,9.61,89,99,3.2
112,Mucurapo,TT,2022-04-26 22:38:38,10.6667,-61.5333,overcast clouds,80.65,82,100,4.74
113,Saint-Pierre,RE,2022-04-26 22:38:39,-21.3393,55.4781,clear sky,73.08,72,0,8.05
