City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,2022-04-18 04:19:19,55.7435,-97.8558,17.76,62,40,2.3
1,New Norfolk,AU,2022-04-18 04:19:20,-42.7826,147.0587,59.92,45,100,1.99
2,Komsomolskiy,UZ,2022-04-18 04:19:20,40.4272,71.7189,75.92,31,45,6.91
3,Tasiilaq,GL,2022-04-18 04:19:21,65.6145,-37.6368,31.64,95,100,8.03
4,Lompoc,US,2022-04-18 04:19:21,34.6391,-120.4579,54.57,88,0,9.22
5,Vardo,NO,2022-04-18 04:19:22,70.3705,31.1107,39.6,91,100,10.71
6,Jamestown,US,2022-04-18 04:18:07,42.097,-79.2353,33.03,58,0,5.75
7,Punta Arenas,CL,2022-04-18 04:19:22,-53.15,-70.9167,41.11,87,75,3.44
8,Puerto Leguizamo,CO,2022-04-18 04:19:23,-0.1934,-74.7819,71.83,98,98,0.65
9,Sada,ES,2022-04-18 04:19:23,43.3562,-8.258,56.28,89,100,8.05
10,Port Elizabeth,ZA,2022-04-18 04:19:24,-33.918,25.5701,62.1,96,20,5.75
11,Oranjemund,NA,2022-04-18 04:19:24,-28.55,16.4333,60.15,68,0,6.85
12,Hithadhoo,MV,2022-04-18 04:19:25,-0.6,73.0833,83.35,74,26,9.71
13,Cape Town,ZA,2022-04-18 04:14:33,-33.9258,18.4232,59.92,83,92,11.99
14,Awjilah,LY,2022-04-18 04:19:26,29.1081,21.2869,58.05,84,75,10.04
15,Wattegama,LK,2022-04-18 04:19:26,6.7989,81.4808,86.41,63,51,4.74
16,Wajima,JP,2022-04-18 04:19:27,37.4,136.9,65.08,59,75,6.91
17,Chuy,UY,2022-04-18 04:19:27,-33.6971,-53.4616,61.21,86,100,6.17
18,Coari,BR,2022-04-18 04:19:28,-4.085,-63.1414,72.54,98,85,1.88
19,Lavrentiya,RU,2022-04-18 04:19:28,65.5833,-171.0,31.73,96,100,14.54
20,Nikolskoye,RU,2022-04-18 04:19:28,59.7035,30.7861,39.87,73,99,2.93
21,Talcahuano,CL,2022-04-18 04:19:29,-36.7167,-73.1167,47.88,93,40,0.0
22,Newport,GB,2022-04-18 04:19:29,51.5877,-2.9984,48.69,87,69,6.93
23,Kavieng,PG,2022-04-18 04:19:30,-2.5744,150.7967,86.05,63,36,13.06
24,Los Alamos,US,2022-04-18 04:19:30,35.8881,-106.307,56.98,18,0,6.91
25,Tingi,TZ,2022-04-18 04:19:31,-11.3,35.0333,62.89,96,77,3.98
26,Hobart,AU,2022-04-18 04:19:31,-42.8794,147.3294,60.26,67,75,16.11
27,Faya,SA,2022-04-18 04:19:32,18.3851,42.4509,66.31,32,10,4.23
28,Acajutla,SV,2022-04-18 04:19:32,13.5928,-89.8275,82.31,77,97,7.52
29,Lardos,GR,2022-04-18 04:17:28,36.0942,28.0157,61.95,86,78,15.52
30,Angoram,PG,2022-04-18 04:19:33,-4.0625,144.0661,87.19,69,37,5.08
31,Kodiak,US,2022-04-18 04:19:33,57.79,-152.4072,38.71,75,100,14.97
32,Castro,BR,2022-04-18 04:19:34,-24.7911,-50.0119,50.02,98,17,4.9
33,San Patricio,US,2022-04-18 04:19:34,28.017,-97.5169,76.87,90,37,6.26
34,Qaanaaq,GL,2022-04-18 04:15:16,77.484,-69.3632,-21.33,68,0,7.09
35,Yulara,AU,2022-04-18 04:17:34,-25.2406,130.9889,82.24,24,8,9.22
36,Kapaa,US,2022-04-18 04:19:35,22.0752,-159.319,80.58,77,40,20.71
37,Robertsport,LR,2022-04-18 04:19:36,6.7533,-11.3686,78.96,85,100,6.15
38,Bikramganj,IN,2022-04-18 04:19:36,25.2,84.25,103.69,6,0,4.29
39,Dikson,RU,2022-04-18 04:19:37,73.5069,80.5464,6.17,92,100,3.33
40,Bluff,NZ,2022-04-18 04:19:37,-46.6,168.3333,62.8,66,84,2.89
41,Mishkino,RU,2022-04-18 04:19:38,55.3389,63.9175,40.35,64,97,6.26
42,Fairbanks,US,2022-04-18 04:16:10,64.8378,-147.7164,37.74,38,0,5.75
43,Qandala,SO,2022-04-18 04:19:38,11.472,49.8728,86.18,55,2,6.29
44,Albany,US,2022-04-18 04:18:56,42.6001,-73.9662,37.63,62,4,5.77
45,Tuktoyaktuk,CA,2022-04-18 04:19:39,69.4541,-133.0374,12.2,73,75,6.91
46,Viru,PE,2022-04-18 04:19:40,-8.4167,-78.75,68.2,80,19,2.62
47,Hilo,US,2022-04-18 04:19:40,19.7297,-155.09,75.27,88,75,5.75
48,Lorengau,PG,2022-04-18 04:20:41,-2.0226,147.2712,84.31,75,66,6.62
49,Tuatapere,NZ,2022-04-18 04:20:41,-46.1333,167.6833,61.38,65,86,1.57
50,Gonbad-E Qabus,IR,2022-04-18 04:20:41,37.25,55.1672,55.31,88,75,0.0
51,Khatanga,RU,2022-04-18 04:20:42,71.9667,102.5,10.69,89,96,15.99
52,Piney Green,US,2022-04-18 04:20:43,34.716,-77.3202,57.9,61,100,13.8
53,Tocopilla,CL,2022-04-18 04:20:43,-22.092,-70.1979,63.07,75,30,4.43
54,Bengkulu,ID,2022-04-18 04:20:44,-3.8004,102.2655,83.25,77,76,5.48
55,Abay,KZ,2022-04-18 04:20:44,49.6311,72.8539,66.58,23,100,8.39
56,Srednekolymsk,RU,2022-04-18 04:20:44,67.45,153.6833,25.36,83,99,6.53
57,Ibra,OM,2022-04-18 04:20:45,22.6906,58.5334,85.6,32,0,2.93
58,Saint-Augustin,CA,2022-04-18 04:20:46,51.226,-58.6502,32.11,98,100,9.57
59,Mugumu,TZ,2022-04-18 04:20:46,-1.85,34.7,59.27,95,100,3.53
60,Brumunddal,NO,2022-04-18 04:20:47,60.881,10.9395,37.56,90,83,1.23
61,Katsuura,JP,2022-04-18 04:20:47,35.1333,140.3,62.62,71,100,11.32
62,Saskylakh,RU,2022-04-18 04:20:48,71.9167,114.0833,30.54,97,100,6.96
63,Leh,IN,2022-04-18 04:17:29,34.1667,77.5833,41.88,39,2,1.77
64,Atuona,PF,2022-04-18 04:20:49,-9.8,-139.0333,79.45,80,14,17.9
65,Feira De Santana,BR,2022-04-18 04:20:05,-12.2667,-38.9667,71.73,98,100,3.96
66,Asyut,EG,2022-04-18 04:20:49,27.181,31.1837,80.13,13,48,2.82
67,San Policarpo,PH,2022-04-18 04:20:50,12.1791,125.5072,84.15,62,99,10.2
68,Mataura,NZ,2022-04-18 04:18:39,-46.1927,168.8643,62.47,54,42,2.19
69,Nioro,GM,2022-04-18 04:20:50,13.35,-15.75,72.61,49,3,8.14
70,Poronaysk,RU,2022-04-18 04:20:51,49.2167,143.1167,34.09,86,55,7.99
71,Brae,GB,2022-04-18 04:20:51,60.3964,-1.353,45.77,83,92,23.73
72,Palmer,US,2022-04-18 04:20:52,42.1584,-72.3287,38.8,77,0,3.44
73,Killybegs,IE,2022-04-18 04:20:52,54.6333,-8.45,44.96,72,71,13.44
74,San Cristobal,VE,2022-04-18 04:20:53,7.7669,-72.225,68.18,97,99,3.11
75,Porto Novo,BJ,2022-04-18 04:20:53,6.4965,2.6036,75.02,93,100,7.47
76,Carnarvon,AU,2022-04-18 04:20:54,-24.8667,113.6333,77.07,61,91,11.5
77,Dire,ML,2022-04-18 04:20:54,12.2833,-10.9667,86.41,30,56,2.68
78,Sisimiut,GL,2022-04-18 04:20:55,66.9395,-53.6735,17.98,87,100,4.92
79,Rincon,US,2022-04-18 04:16:13,32.296,-81.2354,69.76,88,40,6.91
80,East London,ZA,2022-04-18 04:20:55,-33.0153,27.9116,59.94,88,0,8.05
81,Snasa,NO,2022-04-18 04:20:56,64.2457,12.3778,33.31,85,95,3.31
82,Kysyl-Syr,RU,2022-04-18 04:20:56,63.8986,122.7617,31.66,99,100,11.95
83,La Cruz,MX,2022-04-18 04:20:57,23.9167,-106.9,72.14,64,94,3.27
84,Ushuaia,AR,2022-04-18 04:18:42,-54.8,-68.3,44.26,81,20,14.97
85,Bredasdorp,ZA,2022-04-18 04:20:58,-34.5322,20.0403,61.12,89,100,5.08
86,Port Alfred,ZA,2022-04-18 04:20:58,-33.5906,26.891,60.19,95,73,5.01
87,Provideniya,RU,2022-04-18 04:20:59,64.3833,-173.3,32.36,93,100,20.13
88,Busselton,AU,2022-04-18 04:20:59,-33.65,115.3333,65.1,59,95,5.46
89,Krasnomayskiy,RU,2022-04-18 04:21:00,57.6194,34.4099,31.33,82,67,2.1
90,Meulaboh,ID,2022-04-18 04:21:00,4.1363,96.1285,84.72,72,100,3.71
91,Caravelas,BR,2022-04-18 04:21:01,-17.7125,-39.2481,76.3,67,78,9.95
92,Cabra,ES,2022-04-18 04:21:01,37.4725,-4.4421,62.11,54,100,4.05
93,Charters Towers,AU,2022-04-18 04:22:02,-20.1,146.2667,85.96,33,0,8.12
94,Half Moon Bay,US,2022-04-18 04:22:02,37.4636,-122.4286,52.79,76,0,13.8
95,Norman Wells,CA,2022-04-18 04:19:56,65.282,-126.8329,24.84,24,20,3.44
96,Bethel,US,2022-04-18 04:22:03,41.3712,-73.414,39.94,66,0,0.0
97,Hadejia,NG,2022-04-18 04:22:03,12.4498,10.0444,82.89,53,99,11.36
98,Rantauprapat,ID,2022-04-18 04:22:04,2.1,99.8333,84.99,74,100,2.64
